iso3,country,year,magnitude,total_deaths,total_affected,total_damage_kUSD,total_damage_adj_kUSD,pre_event_avg_gdp,gdp_event_year,gdp_drop,recovery_years,gdp_per_capita_event_year,unemployment_event_year,income_group
MMR,Myanmar,1995.0,7.1,,,,,,,,,124.14348039051,0.754,Low
THA,Thailand,1995.0,7.1,,,,,,,,,2864.36515719866,1.1,Lower-Middle
CHL,Chile,1995.0,7.8,3.0,1833.0,1660.0,3417.0,,,,,5081.4682771561,4.7,Upper-Middle
MEX,Mexico,1995.0,7.2,6.0,4670.0,21100.0,43435.0,,,,,4183.87847727479,7.095,Lower-Middle
ECU,Ecuador,1995.0,6.9,2.0,805.0,,,,,,,2108.00698245316,4.408,Lower-Middle
TUR,Türkiye,1995.0,6.1,94.0,160240.0,205800.0,423650.0,,,,,3845.98997887841,7.644,Lower-Middle
IDN,Indonesia,1995.0,7.0,84.0,90218.0,,,,,,,1011.22614205568,4.611,Low
MEX,Mexico,1995.0,7.5,58.0,44465.0,,,,,,,4183.87847727479,7.095,Lower-Middle
CHN,China,1995.0,6.1,46.0,20297.0,80000.0,164684.0,,,,,612.680277898627,3.0,Low
EGY,Egypt,1995.0,6.2,10.0,69.0,,,,,,,916.326617700876,11.04,Low
GRC,Greece,1995.0,6.3,26.0,13900.0,422700.0,870150.0,,,,,12779.081491606,10.116,Upper-Middle
JPN,Japan,1995.0,5.3,,1551.0,,,,,,,44197.6191013908,3.15,High
MEX,Mexico,1995.0,6.5,,18000.0,,,,,,,4183.87847727479,7.095,Lower-Middle
CHN,China,1995.0,5.6,14.0,5060.0,,,,,,,612.680277898627,3.0,Low
IDN,Indonesia,1996.0,7.0,9.0,13000.0,1200.0,2400.0,,,,,1118.92133024129,4.861,Lower-Middle
AFG,Afghanistan,1996.0,,,3250.0,,,,,,,,7.878,
CHN,China,1996.0,7.0,309.0,5077795.0,506000.0,1011964.0,,,,,713.337387811657,3.12,Low
PER,Peru,1996.0,,7.0,752.0,,,,,,,2226.91682429265,4.929,Lower-Middle
IDN,Indonesia,1996.0,7.5,166.0,25638.0,4200.0,8400.0,,,,,1118.92133024129,4.861,Lower-Middle
ECU,Ecuador,1996.0,5.7,27.0,30705.0,7000.0,14000.0,,,,,2135.8479374308,4.422,Lower-Middle
CHN,China,1996.0,6.4,18.0,200300.0,,,,,,,713.337387811657,3.12,Low
CHN,China,1996.0,6.9,26.0,33128.0,24000.0,47998.0,,,,,713.337387811657,3.12,Low
GRC,Greece,1996.0,5.6,,1500.0,,,,,,,13432.5262183244,10.402,High
CHN,China,1996.0,5.7,,137.0,,,,,,,713.337387811657,3.12,Low
HRV,Croatia,1996.0,6.0,,2000.0,,,,,,,5299.6410536193,9.68,Upper-Middle
PER,Peru,1996.0,7.3,14.0,75970.0,,,,,,,2226.91682429265,4.929,Lower-Middle
TUR,Türkiye,1996.0,,,26006.0,30000.0,59998.0,,,,,4041.36210281686,6.629,Lower-Middle
CHN,China,1997.0,5.9,12.0,155040.0,,,,,,,786.743548510999,3.23,Low
IRN,Iran (Islamic Republic of),1997.0,5.6,100.0,84500.0,30000.0,58627.0,,,,,1790.06617575598,9.68,Lower-Middle
KGZ,Kyrgyzstan,1997.0,7.0,,1230.0,2000.0,3908.0,,,,,376.427930059811,1.739,Low
PAK,Pakistan,1997.0,6.3,50.0,10100.0,,,,,,,438.030942680153,0.611,Low
IRN,Iran (Islamic Republic of),1997.0,6.0,1100.0,38600.0,76000.0,148523.0,,,,,1790.06617575598,9.68,Lower-Middle
TTO,Trinidad and Tobago,1997.0,6.5,,17.0,25000.0,48856.0,,,,,4393.94496943068,15.01,Upper-Middle
MEX,Mexico,1997.0,7.3,1.0,5000.0,,,,,,,5567.35599516667,4.235,Upper-Middle
AFG,Afghanistan,1997.0,6.4,5.0,,10.0,20.0,,,,,,7.863,
IRN,Iran (Islamic Republic of),1997.0,7.3,1568.0,74600.0,100000.0,195425.0,,,,,1790.06617575598,9.68,Lower-Middle
IND,India,1997.0,6.0,43.0,156500.0,37000.0,72307.0,,,,,416.228116203753,7.574,Low
MEX,Mexico,1997.0,5.9,,12000.0,,,,,,,5567.35599516667,4.235,Upper-Middle
VEN,Venezuela (Bolivarian Republic of),1997.0,6.7,80.0,4183.0,81000.0,158294.0,,,,,3710.82688355096,11.16,Lower-Middle
ITA,Italy,1997.0,5.5,14.0,38100.0,4524900.0,8842764.0,,,,,21883.9872666651,11.985,High
IDN,Indonesia,1997.0,6.0,20.0,3105.0,1100.0,2150.0,,,,,1044.60674832472,4.684,Low
CHL,Chile,1997.0,6.8,8.0,53098.0,48000.0,93804.0,,,,,5741.95842989596,7.136,Upper-Middle
BGD,Bangladesh,1997.0,5.9,23.0,200.0,,,,,,,379.284917709635,2.698,Low
CHN,China,1997.0,6.6,9.0,500089.0,,,,,,,786.743548510999,3.23,Low
ARM,Armenia,1997.0,4.2,,15000.0,33333.0,65141.0,,,,,505.035887057966,10.8,Low
CHN,China,1997.0,5.2,2.0,20006.0,,,,,,,786.743548510999,3.23,Low
CHN,China,1997.0,5.8,9.0,100089.0,,,,,,,786.743548510999,3.23,Low
IRN,Iran (Islamic Republic of),1997.0,6.2,,25500.0,,,,,,,1790.06617575598,9.68,Lower-Middle
ZAF,South Africa,1997.0,5.0,15.0,46.0,,,,,,,3700.23554789867,22.549,Lower-Middle
AFG,Afghanistan,1998.0,5.9,2323.0,32818.0,10000.0,19244.0,,,,,,7.869,
IRN,Iran (Islamic Republic of),1998.0,6.6,5.0,1500.0,,,,,,,1709.19334096046,10.358,Lower-Middle
CHN,China,1998.0,6.2,49.0,598000.0,285500.0,549409.0,,,,,835.095348597432,3.24,Low
ITA,Italy,1998.0,5.2,,905.0,,,,,,,22365.1837644545,12.117,High
IRN,Iran (Islamic Republic of),1998.0,5.8,12.0,2935.0,,,,,,,1709.19334096046,10.358,Lower-Middle
AUT,Austria,1998.0,5.7,,,,,,,,,27212.4642905708,5.483,High
SVN,Slovenia,1998.0,5.7,,700.0,,,,,,,11131.5666628231,7.39,Upper-Middle
